T100 WAVELENGTH,T100 POWER,POWER METER READING
1310,-0.01,-0.914417
1310,0.09,-0.820014
1310,0.19,-0.713192
1310,0.3,-0.607114
1310,0.38,-0.519466
1310,0.49,-0.419079
1310,0.59,-0.321142
1310,0.69,-0.211743
1310,0.79,-0.118336
1310,0.89,-0.0136775
1310,1,0.0884663
1310,1.1,0.187891
1310,1.19,0.285741
1310,1.29,0.381164
1310,1.39,0.486243
1310,1.49,0.588442
1310,1.6,0.688765
1310,1.7,0.786772
1310,1.79,0.882314
1310,1.9,0.98633
1310,2,1.08772
1310,2.1,1.18651
1310,2.19,1.28372
1310,2.3,1.3874
1310,2.39,1.48025
1310,2.49,1.58006
1310,2.6,1.68599
1310,2.69,1.78042
1310,2.79,1.88168
1310,2.89,1.98128
1310,3,2.08614
1310,3.09,2.1809
1310,3.19,2.28079
1310,3.3,2.38622
1310,3.39,2.48238
1310,3.5,2.58268
1310,3.59,2.68098
1310,3.7,2.78343
1310,3.8,2.88433
1310,3.89,2.98256
1310,4,3.08515
1310,4.1,3.18511
1310,4.2,3.28308
1310,4.3,3.38446
1310,4.4,3.48384
1310,4.5,3.5808
1310,4.6,3.68153
1310,4.7,3.78506
1310,4.8,3.88077
1310,4.9,3.98507
1310,5,4.08142
1310,5.1,4.18117
1310,5.2,4.2829
1310,5.3,4.38279
1310,5.4,4.48501
1310,5.5,4.58456
1310,5.6,4.68187
1310,5.7,4.78151
1310,5.8,4.88291
1310,5.9,4.98245
1310,6,5.08312
1310,6.1,5.18208
1310,6.2,5.28248
1310,6.3,5.38432
1310,6.4,5.48368
1310,6.5,5.58097
1310,6.6,5.68289
1310,6.7,5.78261
1310,6.8,5.88352
1310,6.9,5.98205
1310,7,6.08145
1310,7.1,6.18179
1310,7.2,6.28301
1310,7.3,6.38182
1310,7.4,6.48126
1310,7.5,6.58125
1310,7.6,6.68199
1310,7.7,6.78297
1310,7.8,6.88171
1310,7.9,6.98091
1310,8,7.0827
1310,8.1,7.18244
1310,8.2,7.28213
1310,8.3,7.38194
1310,8.4,7.48188
1310,8.5,7.58173
1310,8.6,7.68154
1310,8.7,7.78126
1310,8.8,7.88119
1310,8.9,7.98058
1310,9,8.08165
1310,9.1,8.18045
1310,9.2,8.2807
1310,9.3,8.38066
1310,9.4,8.47989
1310,9.36,8.45596
1310,9.22,8.30697
1310,9.1,8.1914
1310,9.01,8.09985
1310,8.94,8.02714
1310,8.88,7.96349
