SWITCH CHANNEL,T100 POWER,T100 WAVELENGTH,BRISTOL WAVELENGTH,POWER METER POWER
4,3.08,1465,0000.0000,-86.638
4,3.11,1466,0000.0000,-87.1323
4,3.21,1467,0000.0000,-86.7641
4,3.21,1468,0000.0000,-86.0673
4,3.21,1469,0000.0000,-85.9528
4,3.21,1470,0000.0000,-86.012
4,3.21,1471,0000.0000,-85.5992
4,3.21,1472,0000.0000,-86.3091
4,3.21,1473,0000.0000,-86.6004
4,3.21,1474,0000.0000,-87.0059
4,3.21,1475,0000.0000,-86.1057
4,3.21,1476,0000.0000,-86.6724
4,3.21,1477,0000.0000,-86.1689
4,3.21,1478,0000.0000,-86.4006
4,3.21,1479,0000.0000,-86.0193
4,3.21,1480,0000.0000,-86.409
4,3.21,1481,0000.0000,-86.4597
4,3.21,1482,0000.0000,-86.5377
4,3.21,1483,0000.0000,-86.6829
4,3.21,1484,0000.0000,-86.5816
4,3.21,1485,0000.0000,-86.6468
4,3.21,1486,0000.0000,-86.1255
4,3.21,1487,0000.0000,-85.8323
4,3.21,1488,0000.0000,-86.3823
4,3.21,1489,0000.0000,-86.0105
4,3.21,1490,0000.0000,-86.1579
4,3.21,1491,0000.0000,-86.0788
4,3.21,1492,0000.0000,-86.5422
4,3.21,1493,0000.0000,-86.8831
4,3.21,1494,0000.0000,-86.2582
4,3.21,1495,0000.0000,-86.1681
4,3.21,1496,0000.0000,-86.6357
4,3.21,1497,0000.0000,-86.3249
4,3.21,1498,0000.0000,-86.8031
4,3.21,1499,0000.0000,-86.5045
4,3.21,1500,0000.0000,-86.022
4,3.21,1501,0000.0000,-85.748
4,3.21,1502,0000.0000,-86.1187
4,3.21,1503,0000.0000,-86.3794
4,3.21,1504,0000.0000,-85.9511
4,3.21,1505,0000.0000,-86.9978
4,3.21,1506,0000.0000,-86.4445
4,3.21,1507,0000.0000,-86.477
4,3.21,1508,0000.0000,-86.0757
4,3.21,1509,0000.0000,-85.9332
4,3.21,1510,0000.0000,-86.812
4,3.21,1511,0000.0000,-86.0984
4,3.21,1512,0000.0000,-85.9703
4,3.21,1513,0000.0000,-86.6845
4,3.21,1514,0000.0000,-86.0654
4,3.21,1515,0000.0000,-86.6264
4,3.21,1516,0000.0000,-87.0825
4,3.21,1517,0000.0000,-86.8062
4,3.21,1518,0000.0000,-86.8997
4,3.21,1519,0000.0000,-86.2319
4,3.21,1520,0000.0000,-86.6722
4,3.21,1521,0000.0000,-86.169
4,3.21,1522,0000.0000,-86.2239
4,3.21,1523,0000.0000,-86.7797
4,3.21,1524,0000.0000,-85.9654
4,3.21,1525,0000.0000,-86.5449
4,3.21,1526,0000.0000,-86.2663
4,3.21,1527,0000.0000,-86.2224
4,3.21,1528,0000.0000,-86.8081
4,3.21,1529,0000.0000,-86.793
4,3.21,1530,0000.0000,-86.6626
4,3.21,1531,0000.0000,-86.8212
4,3.21,1532,0000.0000,-87.1028
4,3.21,1533,0000.0000,-86.0943
4,3.21,1534,0000.0000,-86.3652
4,3.21,1535,0000.0000,-86.094
4,3.21,1536,0000.0000,-85.9409
4,3.21,1537,0000.0000,-86.543
4,3.21,1538,0000.0000,-85.8763
4,3.21,1539,0000.0000,-86.8307
4,3.21,1540,0000.0000,-85.8472
4,3.21,1541,0000.0000,-86.2873
4,3.21,1542,0000.0000,-86.2946
4,3.21,1543,0000.0000,-86.9927
4,3.21,1544,0000.0000,-86.2521
4,3.21,1545,0000.0000,-86.33
4,3.21,1546,0000.0000,-86.3746
4,3.17,1547,0000.0000,-86.4466
4,3.21,1548,0000.0000,-86.9494
4,3.21,1549,0000.0000,-87.0338
4,3.21,1550,0000.0000,-86.5961
4,3.21,1551,0000.0000,-86.2228
4,3.21,1552,0000.0000,-86.1562
4,3.21,1553,0000.0000,-87.0187
4,3.21,1554,0000.0000,-86.6958
4,3.21,1555,0000.0000,-85.7296
4,3.21,1556,0000.0000,-86.4696
4,3.2,1557,0000.0000,-87.15
4,3.21,1558,0000.0000,-86.2223
4,3.21,1559,0000.0000,-86.7457
4,3.21,1560,0000.0000,-85.7743
4,3.21,1561,0000.0000,-86.1306
4,3.21,1562,0000.0000,-86.3966
4,3.21,1563,0000.0000,-86.3802
4,3.21,1564,0000.0000,-86.5465
4,3.21,1565,0000.0000,-86.3205
4,3.21,1566,0000.0000,-86.5041
4,3.21,1567,0000.0000,-86.0208
4,3.21,1568,0000.0000,-86.7272
4,3.21,1569,0000.0000,-86.4243
4,3.21,1570,0000.0000,-86.1562
4,3.21,1571,0000.0000,-86.6531
4,3.21,1572,0000.0000,-86.3924
4,3.21,1573,0000.0000,-86.765
4,3.21,1574,0000.0000,-86.2069
4,3.21,1575,0000.0000,-86.7405
